1,1,5
2,1,5
3,1,5
4,2,5
5,2,4
6,2,4
7,3,5
8,3,5
9,3,4
10,4,5
11,4,5
12,4,5
13,5,5
14,5,4
15,5,5
6,6,5
16,6,5
17,6,5
4,7,4
6,7,4
18,7,5
19,8,5
20,8,5
21,8,5
22,9,4
23,9,3
24,9,5
25,10,2
26,10,4
27,10,3
28,11,4
29,11,4
30,11,5
31,12,5
18,12,4
32,12,5
33,13,5
34,13,5
35,13,5
36,14,3
37,14,4
38,14,5
5,15,4
36,15,3
39,15,5
40,16,4
32,16,4
5,16,3
41,17,4
42,17,5
43,17,4
44,18,5
45,18,5
8,18,5
46,19,4
2,19,5
47,19,3
18,20,5
48,20,5
49,20,5
25,21,4
48,21,5
38,21,5
41,22,5
50,22,5
51,22,3
52,23,5
40,23,5
53,23,5
54,24,4
55,24,4
20,24,5
38,25,4
40,25,5
6,25,5
37,26,4
8,26,5
56,26,5
38,27,3
57,27,4
8,27,5
18,28,5
48,28,5
25,28,5
5,29,4
37,29,4
40,29,3
6,30,4
58,30,5
59,30,5
60,31,5
61,31,4
21,31,3
12,32,5
62,32,3
63,32,1
49,33,4
32,33,5
61,33,5
31,34,5
64,34,5
65,34,4
66,35,5
67,35,5
68,35,5
49,36,4
25,36,3
69,36,2
70,37,5
71,37,5
72,37,5
27,38,3
12,38,4
3,38,5
73,39,5
9,39,5
74,39,5
43,40,5
75,40,4
76,40,4
77,41,4
29,41,5
78,41,3
7,42,5
79,42,5
67,42,5
80,43,5
81,43,3
82,43,5
37,44,4
36,44,3
6,44,5
13,45,3
83,45,4
84,45,5
18,46,5
57,46,5
50,46,5
18,47,5
85,47,5
8,47,5
20,48,5
86,48,5
87,48,5
10,49,3
32,49,5
88,49,3
28,50,4
70,50,5
30,50,4
40,51,3
67,51,4
89,51,4
90,52,5
50,52,5
42,52,4
91,53,5
92,53,5
93,53,5
94,54,2
95,54,5
38,54,5
10,55,5
38,55,4
16,55,5
16,56,5
96,56,4
24,56,5
97,57,5
98,57,5
99,57,4
83,58,4
100,58,4
101,58,5
53,59,4
94,59,4
15,59,5
13,60,4
62,60,5
102,60,4
8,61,4
20,61,5
91,61,5
10,62,5
18,62,5
32,62,5
11,63,5
37,63,4
102,63,4
32,64,4
27,64,4
103,64,5
49,65,5
104,65,3
105,65,4
18,66,4
40,66,4
106,66,4
65,67,5
67,67,4
91,67,5
49,68,5
107,68,5
108,68,5
22,69,5
38,69,4
25,69,5
56,70,5
21,70,1
109,70,5
40,71,5
110,71,5
20,71,5
27,72,4
111,72,4
112,72,5
113,73,4
32,73,5
25,73,4
114,74,5
51,74,3
8,74,5
13,75,5
49,75,5
115,75,3
21,76,5
116,76,5
117,76,5
118,77,5
119,77,5
101,77,5
120,78,5
121,78,5
97,78,5
53,79,5
32,79,5
5,79,5
40,80,5
53,80,5
68,80,5
36,81,4
122,81,4
67,81,5
123,82,5
92,82,5
43,82,3
52,83,4
48,83,5
12,83,5
124,84,5
125,84,3
126,84,5
127,85,4
128,85,5
129,85,4
16,86,4
8,86,5
116,86,3
65,87,4
130,87,3
73,87,5
4,88,3
22,88,5
131,88,4
13,89,5
85,89,5
43,89,5
53,90,4
36,90,3
131,90,3
38,91,4
13,91,5
67,91,4
113,92,3
18,92,4
6,92,4
18,93,5
12,93,5
75,93,5
44,94,4
9,94,3
8,94,5
16,95,5
48,95,5
24,95,5
53,96,5
132,96,5
133,96,5
57,97,5
134,97,5
103,97,5
32,98,3
52,98,5
40,98,4
135,99,5
136,99,5
137,99,5
13,100,4
138,100,5
139,100,1
48,101,5
53,101,4
26,101,4
25,102,5
140,102,5
116,102,5
141,103,5
142,103,5
92,103,5
16,104,3
127,104,5
51,104,4
38,105,4
18,105,4
111,105,4
40,106,4
49,106,5
102,106,4
40,107,5
25,107,4
4,107,4
6,108,4
13,108,4
113,108,4
143,109,4
52,109,5
6,109,4
6,110,5
97,110,4
144,110,4
29,111,4
4,111,4
145,111,5
32,112,2
113,112,4
18,112,5
4,113,3
48,113,5
40,113,4
111,114,4
146,114,4
98,114,5
88,115,4
147,115,5
148,115,4
16,116,4
27,116,2
8,116,5
149,117,4
150,117,5
151,117,5
40,118,4
152,118,5
53,118,5
48,119,5
40,119,4
27,119,5
153,120,5
154,120,4
155,120,5
114,121,5
83,121,4
128,121,5
113,122,4
32,122,5
11,122,5
156,123,4
91,123,5
157,123,5
113,124,5
158,124,5
38,124,4
